/	ext4	54052089856	20580048896	/dev/mapper/linux-root
/dev	devtmpfs	0	7264739328	devtmpfs
/dev/shm	tmpfs	199356416	7097970688	tmpfs
/sys/firmware/efi/efivars	efivarfs	37692	88260	efivarfs
/run	tmpfs	1548288	2917384192	tmpfs
/run/credentials/systemd-cryptsetup@cryptroot.service	tmpfs	0	1048576	tmpfs
/run/credentials/systemd-journald.service	tmpfs	0	1048576	tmpfs
/tmp	tmpfs	88215552	7209111552	tmpfs
/run/credentials/systemd-resolved.service	tmpfs	0	1048576	tmpfs
/shared	fuseblk	30187188224	97522024448	/dev/nvme0n1p5
/boot	ext4	250159104	1666064384	/dev/nvme0n1p3
/home	ext4	37786042368	35822964736	/dev/mapper/linux-home
/efi	vfat	29847552	1041780736	/dev/nvme0n1p1
/run/user/1000	tmpfs	151552	1459310592	tmpfs
